nan,nan.1,nan.2,nan.3,timestamp,connected_devices,signal_strength_dbm,download_mbps,upload_mbps,latency_ms,packet_loss,congestion_index
Humanities-FF-RM-233-AP06,CISCO,,10.88.20.199,2026-05-01 15:45:00,27,-73.14,35.77,20.07,18.01,0.695,0.75
BordoishillaNew-GF-RM-116-AP01,CISCO,,10.88.20.181,2026-05-01 15:50:00,107,-32.98,18.56,11.68,74.95,0.575,5.77
BordoishillaHos-FF-RM-120-AP01,CISCO,,10.88.21.242,2026-05-01 15:55:00,113,-36.58,83.55,64.26,41.53,0.606,1.35
Humanities-SF-RM-344-AP02,CISCO,,10.88.21.250,2026-05-01 16:00:00,19,-62.66,103.54,54.57,76.46,0.825,0.18
BordoishillaHos-FF-RM-108-AP03,CISCO,,10.88.21.226,2026-05-01 16:05:00,47,-52.79,48.32,20.65,6.94,0.135,0.97
Management-FF-RM-26-AP01,CISCO,,10.88.20.239,2026-05-01 16:10:00,33,-73.36,29.35,20.86,14.15,0.594,1.12
TransitHostel-GF-RM-128-AP02,CISCO,,10.88.21.71,2026-05-01 16:15:00,40,-78.71,9.52,5.48,12.92,0.641,4.2
BordoishillaHos-SF-RM-208-AP03,CISCO,,10.88.21.228,2026-05-01 16:20:00,17,-62.18,32.56,20.87,32.36,0.386,0.52
FoodEngineering-FF-RM-201-AP02,CISCO,,10.88.20.159,2026-05-01 16:25:00,36,-68.8,44.76,26.13,9.36,0.995,0.8
FoodEngineering-GF-RM-128-AP02,CISCO,,10.88.20.156,2026-05-01 16:30:00,75,-54.98,13.51,7.01,37.28,0.171,5.55
AP3c08.f6b2.8e5c,CISCO,,10.88.21.235,2026-05-01 16:35:00,63,-85.34,13.81,7.2,12.58,0.692,4.56
FoodEngineering-SF-RM-309-AP02,CISCO,,10.88.20.160,2026-05-01 16:40:00,119,-31.54,13.59,8.88,22.17,0.233,8.76
Management-GF-RM-05-AP01,CISCO,,10.88.20.175,2026-05-01 16:45:00,90,-30.83,65.46,42.52,44.53,0.426,1.37
Civil-FF-RM-202(LAB)-AP03,CISCO,,10.88.20.168,2026-05-01 16:50:00,32,-48.11,22.29,12.52,54.06,0.354,1.44
Civil-FF-RM-221-AP03,CISCO,,10.88.20.167,2026-05-01 16:55:00,70,-57.83,43.39,31.72,60.02,0.769,1.61
Civil-SF-RM-302-AP02,CISCO,,10.88.20.170,2026-05-01 17:00:00,46,-71.43,25.39,11.51,36.39,0.79,1.81
Management-FF-RM-36-AP02,CISCO,,10.88.20.173,2026-05-01 17:05:00,49,-41.17,30.25,13.76,45.15,0.215,1.62
Management-FF-RM-17-AP3,CISCO,,10.88.20.178,2026-05-01 17:10:00,66,-48.92,25.42,16.57,19.91,0.065,2.6
ECE-FF-RM-224-AP02,CISCO,,10.88.20.138,2026-05-01 17:15:00,61,-80.24,52.98,23.52,46.1,0.454,1.15
Civil-FF-RM-218-AP01,CISCO,,10.88.20.166,2026-05-01 17:20:00,10,-35.34,36.37,16.72,14.54,0.865,0.27
DeanBuilding-GF-RM-106-Ap01,CISCO,,10.88.20.227,2026-05-01 17:25:00,32,-40.65,33.52,19.79,33.19,0.394,0.95
Management-GF-Entrance-AP02,CISCO,,10.88.20.174,2026-05-01 17:30:00,32,-33.01,82.16,64.29,14.99,0.102,0.39
ECE-FF-RM-229-AP01,CISCO,,10.88.20.139,2026-05-01 17:35:00,112,-46.46,96.11,64.9,37.82,0.255,1.17
DeanBuilding-GF-RM-104-Ap03,CISCO,,10.88.20.229,2026-05-01 17:40:00,48,-53.2,54.43,27.28,63.59,0.825,0.88
ECE-GF-RM-123-AP02,CISCO,,10.88.20.136,2026-05-01 17:45:00,88,-64.91,21.17,16.05,52.75,0.614,4.16
Civil-SF-RM-307-AP01,CISCO,,10.88.20.169,2026-05-01 17:50:00,34,-34.04,13.67,10.29,12.93,0.988,2.49
DeanBuilding-FF-RM-205-AP-03,CISCO,,10.88.20.228,2026-05-01 17:55:00,66,-38.04,20.26,8.44,11.36,0.716,3.26
Management-GF-CL-06-AP03,CISCO,,10.88.20.177,2026-05-01 18:00:00,79,-87.29,13.76,6.08,7.67,0.509,5.74
FoodEngineering-FF-AnlytLab-AP02,CISCO,,10.88.20.158,2026-05-01 18:05:00,96,-88.42,35.71,18.52,31.23,0.775,2.69
AP885a.92bc.266e,CISCO,,10.88.22.20,2026-05-01 18:10:00,93,-67.41,24.07,13.05,35.91,0.55,3.86
ECE-SF-RM-312-AP02,CISCO,,10.88.20.140,2026-05-01 18:15:00,107,-41.37,27.03,13.68,6.57,0.082,3.96
FoodEngineering-SF-RM-307-AP01,CISCO,,10.88.20.246,2026-05-01 18:20:00,66,-30.76,39.25,27.99,22.09,0.976,1.68
Academic-I-FF-AP03,CISCO,,10.88.20.32,2026-05-01 18:25:00,101,-80.97,32.24,14.46,51.13,0.775,3.13
DeansBuilding-GF-RM-104-AP04,CISCO,,10.88.22.54,2026-05-01 18:30:00,5,-54.35,47.54,28.11,72.19,0.322,0.11
BordoishillaHos-SF-RM-221-AP01,CISCO,,10.88.21.227,2026-05-01 18:35:00,31,-67.15,19.59,15.51,50.14,0.582,1.58
Civil-SF-EXTN-AP03,CISCO,,10.88.21.12,2026-05-01 18:40:00,66,-31.81,25.59,16.55,16.75,0.044,2.58
ECE-GF-RM-128-AP04,CISCO,,10.88.22.48,2026-05-01 18:45:00,81,-39.47,28.88,14.15,32.91,0.432,2.8
Pobitora_2F,CISCO,,10.88.21.70,2026-05-01 18:50:00,109,-39.7,80.76,37.59,25.53,0.928,1.35
ransitHostel-FF-RM-231-AP02,CISCO,,10.88.21.73,2026-05-01 18:55:00,7,-61.88,10.09,7.62,53.44,0.286,0.69
Pobitra-SF-RM-348-AP13,CISCO,,10.88.21.69,2026-05-01 19:00:00,107,-65.11,35.71,26.84,24.38,0.544,3.0
Pobitra-SF-RM-403-AP10,CISCO,,10.88.21.48,2026-05-01 19:05:00,74,-73.6,47.26,27.61,68.15,0.728,1.57
TransitHostel-FF-RM-216-AP03,CISCO,,10.88.20.31,2026-05-01 19:10:00,76,-86.62,8.32,3.51,29.0,0.753,9.13
SubansiriHos-SF-RM-305-AP01,CISCO,,10.88.20.110,2026-05-01 19:15:00,31,-38.12,17.21,7.18,17.36,0.132,1.8
KMH-FF-RM-251-AP-06,CISCO,,10.88.20.242,2026-05-01 19:20:00,13,-41.23,33.61,26.42,41.63,0.151,0.39
KMH-SF-RM-342-AP06,CISCO,,10.88.20.249,2026-05-01 19:25:00,66,-30.02,36.98,22.81,49.28,0.508,1.78
KMH-GF-RM-150-AP-07,CISCO,,10.88.20.252,2026-05-01 19:30:00,41,-30.2,23.61,10.88,12.03,0.577,1.74
SubansiriHos-GF-RM-120-AP03,CISCO,,10.88.21.51,2026-05-01 19:35:00,101,-56.67,111.4,51.69,39.62,0.009,0.91
KMH-SF-RM-354,CISCO,,10.88.22.29,2026-05-01 19:40:00,55,-43.86,67.27,50.62,25.84,0.194,0.82
KMH-FF-RM-208,CISCO,,10.88.22.23,2026-05-01 19:45:00,110,-33.31,55.79,26.87,46.63,0.733,1.97
SubansiriHos-GF-RM-215-AP02,CISCO,,10.88.21.54,2026-05-01 19:50:00,48,-39.02,31.04,20.96,33.14,0.539,1.55
KMH-GF-RM-165,CISCO,,10.88.22.27,2026-05-01 19:55:00,28,-75.16,43.35,30.53,7.65,0.746,0.65
KMH-SF-RM-319,CISCO,,10.88.22.28,2026-05-01 20:00:00,83,-62.97,32.09,22.57,55.88,0.756,2.59
BordoishillaHos-GF-RM-19-AP01,CISCO,,10.88.21.225,2026-05-01 20:05:00,63,-82.25,54.47,40.89,79.73,0.368,1.16
NMH-SF-RM-358-AP-08,CISCO,,10.88.21.239,2026-05-01 20:10:00,36,-32.76,20.35,14.49,21.29,0.138,1.77
ECE-SF-RM-307-AP01,CISCO,,10.88.20.92,2026-05-01 20:15:00,100,-53.63,48.21,32.7,5.24,0.62,2.07
NMH-SF-RM-318,CISCO,,10.88.22.32,2026-05-01 20:20:00,92,-76.28,74.88,41.57,35.17,0.874,1.23
CMH-GF-RM-125-AP02,CISCO,,10.88.21.32,2026-05-01 20:25:00,109,-49.7,28.57,12.17,48.5,0.561,3.82
CMH-GF-RM-109-AP08,CISCO,,10.88.22.47,2026-05-01 20:30:00,56,-52.91,44.62,26.53,49.95,0.602,1.26
kopili-SF-RM-237-AP04,CISCO,,10.88.20.91,2026-05-01 20:35:00,117,-68.51,17.2,10.31,10.78,0.059,6.8
AP78da.6e42.9398,CISCO,,9,2026-05-01 20:40:00,66,-83.19,36.7,29.09,20.74,0.825,1.8
SubansiriHos-GF-RM-205-AP01,CISCO,,10.88.20.108,2026-05-01 20:45:00,117,-49.71,86.42,39.67,29.61,0.434,1.35
SubansiriHos-GF-RM-105-AP01,CISCO,,10.88.21.50,2026-05-01 20:50:00,62,-58.78,14.05,5.97,65.1,0.767,4.41
KMH-GF-RM-106-AP02,CISCO,,10.88.20.86,2026-05-01 20:55:00,56,-43.66,50.68,33.3,36.59,0.636,1.1
KMH-GF-RM-167-AP05,CISCO,,10.88.20.82,2026-05-01 21:00:00,16,-58.79,35.0,23.6,79.33,0.747,0.46
Kopili-SF-RM-230-AP07,CISCO,,10.88.21.76,2026-05-01 21:05:00,43,-38.87,50.9,32.33,18.84,0.362,0.84
KMH-SF-RM-363-AP07,CISCO,,10.88.20.89,2026-05-01 21:10:00,6,-56.89,73.42,49.93,48.94,0.586,0.08
KMH-SF-RM-307-AP03,CISCO,,10.88.20.254,2026-05-01 21:15:00,7,-56.34,32.95,17.11,75.55,0.259,0.21
Pobitra-SF-RM-352-AP14,CISCO,,10.88.22.25,2026-05-01 21:20:00,117,-37.4,26.69,14.7,39.63,0.481,4.38
KMH-GF-RM-122-AP04,CISCO,,10.88.20.248,2026-05-01 21:25:00,105,-65.79,20.12,11.93,15.01,0.081,5.22
KMH-GF-RM-117-AP-03,CISCO,,10.88.20.83,2026-05-01 21:30:00,117,-81.96,50.48,38.55,63.52,0.007,2.32
Kopili-FF-RM-132-AP08,CISCO,,10.88.21.213,2026-05-01 21:35:00,60,-88.27,27.0,17.39,15.15,0.751,2.22
KMH-FF-RM-207-AP07,CISCO,,10.88.20.85,2026-05-01 21:40:00,85,-44.69,24.0,9.73,26.21,0.045,3.54
SubansiriHos-GF-RM-230-AP04,CISCO,,10.88.20.107,2026-05-01 21:45:00,63,-52.78,17.51,8.74,72.97,0.25,3.6
CODL,CISCO,,10.88.21.249,2026-05-01 21:50:00,117,-47.76,34.52,19.73,68.36,0.268,3.39
KMH-GF-RM-130,CISCO,,10.88.22.26,2026-05-01 21:55:00,6,-77.22,15.24,6.3,9.7,0.906,0.39
KMH-FF-RM-216-AP03,CISCO,,10.88.20.244,2026-05-01 22:00:00,6,-81.82,14.94,7.86,62.89,0.086,0.4
SubansiriHos-SF-RM-314-AP02,CISCO,,10.88.21.52,2026-05-01 22:05:00,96,-89.13,16.64,11.08,77.25,0.56,5.77
NMH-SF-RM-335-AP10,CISCO,,10.88.22.22,2026-05-01 22:10:00,58,-68.96,57.79,42.25,64.08,0.624,1.0
KMH-GF-RM-163-AP06,CISCO,,10.88.20.80,2026-05-01 22:15:00,91,-54.6,84.61,42.53,54.06,0.198,1.08
KMH-SF-RM-345-AP08,CISCO,,10.88.20.88,2026-05-01 22:20:00,105,-66.47,29.86,15.63,76.03,0.967,3.52
KMH-FF-RM-222-AP08,CISCO,,10.88.20.245,2026-05-01 22:25:00,100,-63.75,62.81,28.92,21.9,0.251,1.59
KMH-SF-RM-310-AP-02,CISCO,,10.88.20.250,2026-05-01 22:30:00,101,-35.75,36.51,22.57,78.54,0.227,2.77
KMH-FF-RM-258-AP-02,CISCO,,10.88.20.47,2026-05-01 22:35:00,5,-69.1,26.09,11.14,58.09,0.544,0.19
Kopili-SF-RM-223-AP02,CISCO,,10.88.21.223,2026-05-01 22:40:00,23,-59.16,27.86,20.58,37.15,0.141,0.83
KMH-SF-RM-328-AP01,CISCO,,10.88.20.247,2026-05-01 22:45:00,6,-42.98,96.49,64.42,39.67,0.412,0.06
SubansiriHos-GF-RM-115-AP02,CISCO,,10.88.20.106,2026-05-01 22:50:00,57,-66.21,47.78,24.67,64.02,0.112,1.19
AP64f6.9d71.28b0,CISCO,,10.88.21.14,2026-05-01 22:55:00,48,-52.67,24.97,10.51,63.97,0.201,1.92
NMH-GF-RM-118,CISCO,,10.88.22.35,2026-05-01 23:00:00,94,-38.26,17.03,10.52,61.88,0.754,5.52
NMH-FF-RM-255,CISCO,,10.88.22.31,2026-05-01 23:05:00,36,-33.03,12.81,9.63,70.97,0.871,2.81
SubansiriHos-SF-RM-319-AP03,CISCO,,10.88.21.53,2026-05-01 23:10:00,74,-81.18,66.72,41.64,61.3,0.558,1.11
KanchanjnghaHos-APx5,CISCO,,10.88.21.15,2026-05-01 23:15:00,36,-34.4,22.17,12.98,73.19,0.539,1.62
KMH-FF-RM-202-AP06,CISCO,,10.88.21.17,2026-05-01 23:20:00,72,-60.47,42.42,23.28,38.88,0.397,1.7
KMH-SF-RM-335-AP04,CISCO,,10.88.21.19,2026-05-01 23:25:00,59,-74.51,56.54,44.43,20.28,0.523,1.04
KMH-SF-RM-370-AP05,CISCO,,10.88.21.18,2026-05-01 23:30:00,79,-62.45,17.52,12.32,25.73,0.312,4.51
SubansiriHos-GF-RM-131-AP04,CISCO,,10.88.20.105,2026-05-01 23:35:00,60,-31.2,31.66,24.25,44.98,0.158,1.9
SubansiriHos-SF-RM-330-AP04,CISCO,,10.88.20.109,2026-05-01 23:40:00,21,-60.44,24.68,11.51,51.01,0.363,0.85
KMH-FF-RM-267-AP04,CISCO,,10.88.20.243,2026-05-01 23:45:00,42,-70.27,37.6,29.83,15.55,0.202,1.12
NMH-SF-RM-315-AP01,CISCO,,10.88.20.183,2026-05-01 23:50:00,28,-52.0,62.9,43.59,66.53,0.313,0.45
NMH-GF-RM-139-AP-05,CISCO,,10.88.21.27,2026-05-01 23:55:00,73,-75.59,52.95,22.95,71.18,0.804,1.38
NMH-GF-RM-135-AP01,CISCO,,10.88.21.20,2026-05-02 00:00:00,102,-85.45,21.34,16.97,41.4,0.122,4.78
NMH-GF-RM-152-AP-07,CISCO,,10.88.20.253,2026-05-02 00:05:00,74,-82.27,50.38,23.5,71.14,0.427,1.47
NMH-SF-RM-352-AP-06,CISCO,,10.88.21.241,2026-05-02 00:10:00,90,-82.32,20.45,13.8,11.98,0.029,4.4
Pobitra-SF-RM-358-AP15,CISCO,,10.88.21.45,2026-05-02 00:15:00,15,-80.89,53.8,23.23,59.86,0.187,0.28
NMH-GF-RM-158-AP08,CISCO,,10.88.20.69,2026-05-02 00:20:00,116,-81.67,27.52,21.11,13.31,0.76,4.22
CMH-FF-RM-238-AP05,CISCO,,10.88.20.73,2026-05-02 00:25:00,20,-51.55,59.58,43.41,39.44,0.358,0.34
Kopili-GF-RM-18-AP05,CISCO,,10.88.21.208,2026-05-02 00:30:00,101,-79.09,28.2,21.2,44.41,0.244,3.58
Kopili-GF-RM-06-AP02,CISCO,,10.88.21.79,2026-05-02 00:35:00,77,-69.26,28.95,12.75,22.99,0.142,2.66
NMH-GF-RM-109-AP-04,CISCO,,10.88.20.74,2026-05-02 00:40:00,63,-36.19,24.79,11.81,51.03,0.436,2.54
Kopili-FF-RM-125-AP06,CISCO,,10.88.21.216,2026-05-02 00:45:00,74,-61.56,90.41,66.59,40.35,0.979,0.82
Kopili-GF-RM-02-AP01,CISCO,,10.88.21.211,2026-05-02 00:50:00,84,-49.95,23.6,16.42,12.98,0.315,3.56
Kopili-FF-RM-111-AP02,CISCO,,10.88.21.217,2026-05-02 00:55:00,97,-79.66,16.76,7.87,69.18,0.227,5.79
Kopili-FF-RM-103-AP01,CISCO,,10.88.21.212,2026-05-02 01:00:00,7,-78.46,36.2,15.6,30.53,0.866,0.19
Kopili-SF-RM-226-AP-06,CISCO,,10.88.21.219,2026-05-02 01:05:00,24,-87.55,21.7,10.52,7.49,0.304,1.11
NMH-GF-RM-142-AP-06,CISCO,,10.88.20.87,2026-05-02 01:10:00,63,-79.86,47.86,36.44,22.46,0.807,1.32
Kopili-SF-RM-234-AP-08,CISCO,,10.88.21.218,2026-05-02 01:15:00,40,-73.28,18.05,9.1,73.04,0.671,2.22
Kopili-FF-RM-107-AP02,CISCO,,10.88.21.78,2026-05-02 01:20:00,23,-79.38,29.74,16.53,33.46,0.227,0.77
NMH-GF-RM-127-AP03,CISCO,,10.88.20.180,2026-05-02 01:25:00,94,-84.68,38.36,21.18,78.26,0.111,2.45
Kopili-FF-RM-114-AP03,CISCO,,10.88.21.214,2026-05-02 01:30:00,71,-82.76,79.58,45.25,7.04,0.966,0.89
Kopili-SF-RM-203-AP01,CISCO,,10.88.21.222,2026-05-02 01:35:00,23,-62.35,58.92,30.46,73.31,0.754,0.39
Kopili-GF-RM-031-AP-07,CISCO,,10.88.21.206,2026-05-02 01:40:00,24,-77.62,26.59,21.08,51.6,0.559,0.9
PatKaiHostel-SF-RM-360-AP10,CISCO,AP01,10.88.21.77,2026-05-02 01:45:00,100,-68.14,28.85,14.79,70.46,0.113,3.47
Kopili-SF-RM-222-AP-05,CISCO,,10.88.21.220,2026-05-02 01:50:00,75,-59.79,99.26,42.42,24.75,0.046,0.76
Kopili-GF-RM-11-AP-03,CISCO,,10.88.21.210,2026-05-02 01:55:00,56,-48.58,22.43,11.67,49.88,0.297,2.5
CharaideoHostel-AP-12,CISCO,,10.88.21.237,2026-05-02 02:00:00,109,-87.64,9.5,6.07,9.84,0.877,11.47
Kopili-SF-RM-216-AP03,CISCO,,10.88.21.221,2026-05-02 02:05:00,37,-42.04,111.41,71.0,71.92,0.185,0.33
NMH-FF-RM-258-AP01,CISCO,,10.88.20.72,2026-05-02 02:10:00,44,-52.33,55.53,40.83,26.4,0.429,0.79
NMH-SF-CoomonRoom-AP09,CISCO,,10.88.20.90,2026-05-02 02:15:00,43,-85.09,34.37,25.51,44.11,0.064,1.25
NMH-SF-RM-320-AP02,CISCO,,10.88.20.71,2026-05-02 02:20:00,86,-37.59,36.07,21.47,60.32,0.525,2.38
NMH-FF-RM-222-AP06,CISCO,,10.88.20.209,2026-05-02 02:25:00,108,-34.75,17.43,12.75,70.92,0.572,6.2
NMH-FF-RM-229,CISCO,,10.88.22.30,2026-05-02 02:30:00,5,-86.34,28.74,12.44,73.3,0.464,0.17
NMH-FF-RM-252-AP08,CISCO,,10.88.20.171,2026-05-02 02:35:00,15,-73.39,19.88,15.05,38.25,0.607,0.75
NMH-GF-RM-155,CISCO,,10.88.22.34,2026-05-02 02:40:00,96,-41.63,23.55,16.85,52.97,0.676,4.08
NMH-SF-RM-355,CISCO,,10.88.22.33,2026-05-02 02:45:00,61,-45.1,14.8,8.2,41.58,0.652,4.12
NMH-FF-RM-209-AP-08,CISCO,,10.88.20.207,2026-05-02 02:50:00,93,-78.93,58.27,34.33,78.79,0.269,1.6
Kopili-GF-RM-15-AP04,CISCO,,10.88.21.209,2026-05-02 02:55:00,54,-77.44,39.24,19.69,32.14,0.472,1.38
CMH-FF-RM-Dormitory,CISCO,,10.88.22.42,2026-05-02 03:00:00,27,-67.77,13.3,6.59,40.22,0.45,2.03
CMH-FF-RM-213-AP01,CISCO,,10.88.20.76,2026-05-02 03:05:00,35,-60.93,27.7,13.25,50.81,0.281,1.26
NMH-SF-RM-339-AP-05,CISCO,,10.88.21.23,2026-05-02 03:10:00,98,-52.9,64.49,39.65,69.06,0.049,1.52
NMH-FF-RM-234-AP04,CISCO,,10.88.21.21,2026-05-02 03:15:00,46,-67.87,27.08,12.0,30.41,0.803,1.7
Academic-I-GF-AP02,CISCO,,10.88.20.28,2026-05-02 03:20:00,103,-62.25,45.02,25.15,8.33,0.278,2.29
NMH-SF-RM-335-AP-04,CISCO,,10.88.21.22,2026-05-02 03:25:00,11,-45.15,107.17,69.32,13.54,0.345,0.1
NMH-SF-RM-331-AP-03,CISCO,,10.88.21.28,2026-05-02 03:30:00,20,-87.8,85.52,35.22,55.66,0.045,0.23
Academic-II-FF-RM-20-AP04,CISCO,,10.88.21.253,2026-05-02 03:35:00,94,-74.85,27.18,13.86,34.59,0.422,3.46
NMH-FF-RM-231-AP05,CISCO,,10.88.20.70,2026-05-02 03:40:00,116,-47.2,19.69,13.16,24.36,0.675,5.89
KMH-FF-RM-255,CISCO,,10.88.22.24,2026-05-02 03:45:00,64,-36.29,35.39,27.67,66.59,0.002,1.81
NMH-FF-RM-239-AP03,CISCO,,10.88.21.25,2026-05-02 03:50:00,117,-59.3,31.52,21.65,67.22,0.041,3.71
NMH-SF-RM-342-AP-06,CISCO,,10.88.21.24,2026-05-02 03:55:00,6,-58.07,55.51,24.74,33.79,0.456,0.11
CMH-FF-RM-219-AP07,CISCO,,10.88.20.251,2026-05-02 04:00:00,5,-83.57,25.28,16.14,46.22,0.9,0.2
NMH-FF-RM-242-AP02,CISCO,,10.88.21.240,2026-05-02 04:05:00,52,-63.16,26.1,14.14,75.63,0.669,1.99
CSE-GF-RM-103-AP01,CISCO,,10.88.20.147,2026-05-02 04:10:00,16,-58.04,48.75,36.82,49.9,0.502,0.33
CSE-FF-RM-212-AP-02,CISCO,,10.88.20.75,2026-05-02 04:15:00,73,-75.45,59.72,38.52,70.53,0.724,1.22
CSE-SF-RM-304-AP-03,CISCO,,10.88.20.146,2026-05-02 04:20:00,41,-73.85,29.22,17.88,67.18,0.991,1.4
CSE-GF-RM-121-AP04,CISCO,,10.88.22.52,2026-05-02 04:25:00,36,-67.36,107.4,61.09,27.13,0.486,0.34
CSE-SF-RM-314-AP01,CISCO,,10.88.20.145,2026-05-02 04:30:00,13,-88.8,45.2,34.54,65.6,0.216,0.29
CSE-FF-RM-226-AP01,CISCO,,10.88.20.144,2026-05-02 04:35:00,109,-70.68,20.67,13.66,68.42,0.692,5.27
CSE-GF-RM-129-AP03,CISCO,,10.88.20.142,2026-05-02 04:40:00,103,-77.31,26.7,11.51,45.69,0.862,3.86
CSE-FF-RM-202-AP03,CISCO,,10.88.20.143,2026-05-02 04:45:00,23,-70.35,22.83,16.42,66.68,0.858,1.01
CSE-FF-RM-229-AP04,CISCO,,10.88.20.112,2026-05-02 04:50:00,52,-82.81,38.05,16.73,71.72,0.012,1.37
CSE-GF-RM-113-AP02,CISCO,,10.88.20.141,2026-05-02 04:55:00,84,-36.57,37.95,25.89,56.63,0.375,2.21
Library-GF-Entrance-AP04,CISCO,,10.88.20.222,2026-05-02 05:00:00,7,-54.38,50.01,32.92,8.36,0.762,0.14
CSE-SF-RM-302-AP04,CISCO,,10.88.20.118,2026-05-02 05:05:00,24,-49.25,38.76,15.9,53.44,0.637,0.62
Kopili-FF-RM-119-AP07,CISCO,,10.88.21.215,2026-05-02 05:10:00,28,-42.65,24.61,17.64,49.7,0.101,1.14
Kopili-GF-RM-24-AP06,CISCO,,10.88.21.207,2026-05-02 05:15:00,58,-60.09,27.32,14.91,21.34,0.988,2.12
BordoishillaNew-FF-RM-205-AP02,CISCO,,10.88.20.188,2026-05-02 05:20:00,37,-84.78,20.45,9.55,77.9,0.228,1.81
CMH-GF-RM-152-AP07,CISCO,,10.88.20.81,2026-05-02 05:25:00,28,-57.77,39.47,31.01,33.82,0.039,0.71
CMH-FF-RM-206-AP02,CISCO,,10.88.21.238,2026-05-02 05:30:00,79,-54.79,13.04,7.38,34.66,0.313,6.06
CMH-FF-RM-255-AP03,CISCO,,10.88.21.31,2026-05-02 05:35:00,117,-45.27,60.29,31.09,72.51,0.116,1.94
CMH-GF-RM-129,CISCO,,10.88.22.44,2026-05-02 05:40:00,76,-64.1,116.91,68.93,38.31,0.995,0.65
CMH-GF-RM-151-AP05,CISCO,,10.88.20.78,2026-05-02 05:45:00,40,-82.35,88.18,45.44,77.09,0.389,0.45
CMH-FF-RM-241-AP04,CISCO,,10.88.22.46,2026-05-02 05:50:00,42,-72.97,19.25,13.65,78.51,0.478,2.18
CMH-GF-RM-136-AP03,CISCO,FGL1916XASY,10.88.20.77,2026-05-02 05:55:00,108,-68.22,87.26,61.5,67.52,0.44,1.24
CMH-GF-RM-118-AP01,CISCO,FGL1916XASK,10.88.20.79,2026-05-02 06:00:00,88,-51.24,17.79,12.16,18.29,0.507,4.95
CMH-GF-RM-144-AP04,CISCO,FGL2220A4XJ,10.88.21.33,2026-05-02 06:05:00,103,-55.75,97.42,76.63,46.83,0.347,1.06
CMH-FF-RM-227-AP06,CISCO,FGL1837X8AD,10.88.21.30,2026-05-02 06:10:00,116,-68.63,22.66,18.12,16.29,0.817,5.12
CMH-GF-RM-141,CISCO,FGL1916X220,10.88.22.43,2026-05-02 06:15:00,93,-30.81,64.51,51.45,71.02,0.623,1.44
CMH-GF-RM-104,CISCO,FGL1819S5KB,10.88.22.45,2026-05-02 06:20:00,103,-53.65,44.93,26.26,59.81,0.148,2.29
PragjyotikaHos-GF-RM-123-AP02,CISCO,FGL1852XJQE,10.88.20.10,2026-05-02 06:25:00,29,-75.77,109.68,67.69,22.08,0.964,0.26
PragjyotikaHostel-FF-RM-220-AP04,CISCO,,10.88.21.243,2026-05-02 06:30:00,97,-83.89,12.43,6.73,39.38,0.038,7.8
PragjyotikaHos-SF-RM-302-AP01,CISCO,FGL1837X8A4,10.88.21.246,2026-05-02 06:35:00,22,-80.83,34.07,15.33,64.57,0.276,0.65
PragjyotikaHos-FF-RM-207-AP02,CISCO,FGL1837X8AA,10.88.21.247,2026-05-02 06:40:00,114,-75.24,27.85,21.94,76.18,0.513,4.09
PragjyotikaHos-GF-RM-107-AP01,CISCO,FGL1916XAT1,10.88.21.248,2026-05-02 06:45:00,86,-80.36,14.14,10.54,49.15,0.375,6.08
PragjyotikaHos-SF-RM-325-AP03,CISCO,FGL1852XJPV,10.88.21.245,2026-05-02 06:50:00,70,-78.81,70.0,43.76,38.09,0.606,1.0
PragjyotikaHos-SF-RM-314-AP04,CISCO,FGL1852XJQ9,10.88.20.99,2026-05-02 06:55:00,58,-72.89,38.1,24.04,69.92,0.981,1.52
PragjyotikaHos-FF-RM-225-AP03,CISCO,,10.88.20.98,2026-05-02 07:00:00,39,-79.6,26.18,16.78,49.36,0.807,1.49
PragjyotikaHos-GF-RM-23-AP01,CISCO,FGL1916XASP,10.88.20.95,2026-05-02 07:05:00,84,-36.19,27.78,12.33,69.05,0.439,3.02
PragjyotikaHos-FF-RM-209-AP01,CISCO,FGL1850X65X,10.88.20.97,2026-05-02 07:10:00,65,-85.19,27.32,13.56,28.39,0.256,2.38
PragjyotikaHos-SF-RM-307-AP02,CISCO,,10.88.20.100,2026-05-02 07:15:00,45,-58.53,17.39,11.31,74.48,0.019,2.59
CVRaman-TF-RM-3023-AP01,CISCO,FGL1916XASE,10.88.21.192,2026-05-02 07:20:00,104,-65.38,83.38,34.37,70.4,0.527,1.25
CVRaman-TF--RM-3117-AP11,CISCO,FGL1916X22C,10.88.21.189,2026-05-02 07:25:00,37,-31.06,94.28,51.24,65.33,0.279,0.39
CVRaman-SF-RM-2024-AP20,CISCO,FGL1927XBQ1,10.88.21.161,2026-05-02 07:30:00,72,-83.28,64.75,46.45,79.29,0.201,1.11
CVRaman-TF-RM-3119-AP10,CISCO,FGL1915X0B3,10.88.21.196,2026-05-02 07:35:00,37,-66.13,29.91,15.49,6.07,0.738,1.24
CVRaman-SF-RM-2007-AP19,CISCO,FGL1915X0AP,10.88.21.165,2026-05-02 07:40:00,18,-31.83,108.39,46.35,5.42,0.937,0.17
CVRaman-SF-RM-2110-AP03,CISCO,FGL1921X8T9,10.88.21.181,2026-05-02 07:45:00,25,-38.07,107.53,75.97,68.44,0.614,0.23
